kabupaten_kota;persentase_sanitasi_layak;persentase_pemberian_asi;persentase_bblr;prevalensi_balita_stunting
KABUPATEN BANDUNG;96,79;77,66;2,97;24,1
KABUPATEN GARUT;91,34;84,93;0;14,2
KABUPATEN TASIKMALAYA;75,62;82,3;4,38;17
KABUPATEN CIAMIS;95,16;81,7;6,29;20,3
KABUPATEN KUNINGAN;96,34;76,75;6,82;22,7
KABUPATEN CIREBON;96,24;74,88;3,35;18
KABUPATEN MAJALENGKA;98,11;84,96;5,25;18
KABUPATEN SUMEDANG;98,99;80,36;4,72;17
KABUPATEN INDRAMAYU;97,96;62,85;3,19;9,8
KABUPATEN SUBANG;100;79,93;1,74;12,4
KABUPATEN PURWAKARTA;95,78;78,2;2,91;14,4
KABUPATEN KARAWANG;77,53;80,75;3,65;17,6
KABUPATEN BEKASI;97,00;77,04;1,7;18,2
KABUPATEN BANDUNG BARAT;94,91;78,64;2,37;30,8
KABUPATEN PANGANDARAN;100;88,13;6,12;17,3
KOTA BOGOR;72,93;84,22;2,41;21,1
KOTA SUKABUMI;95,53;79,9;4,53;19,7
KOTA BANDUNG;69,46;82,33;2,28;22,8
KOTA CIREBON;95,38;69,42;7,1;14,9
KOTA BEKASI;99,62;84,48;1,07;11,7
KOTA DEPOK;99,46;80,28;1,1;12,5
KOTA CIMAHI;78,58;81,3;2,53;22,3
KOTA TASIKMALAYA;34,56;74,66;4,07;19,6
KOTA BANJAR;99,11;75,88;4,77;18,8
